Player Moves:
Player attacked B3
Player attacked B2
Player attacked C5
Player attacked C7
Player attacked E6
Player attacked E3
Player attacked G4
Player attacked H4
Player attacked I4
Player attacked F4
Player attacked E4
Player attacked D4
Player attacked E8
Player attacked F8
Player attacked G8
Player attacked I7
Player attacked I9
Player attacked C9
Player attacked B9
Player attacked A8
Player attacked A7
Player attacked A6
Player attacked A5
Player attacked G2
Player attacked H2
Player attacked I2
Player attacked J5
Player attacked J7
Player attacked J1
Player attacked E1
Player attacked G6
Player attacked G10
Player attacked E10
Player attacked C10
Player attacked C2
Player attacked D2
Player attacked C3
Player attacked C4
Player attacked F7
Player attacked H6
Player attacked F9
Player attacked J9
Player attacked J3
Player attacked G3
Player attacked G1
Player attacked F2
Player attacked C1
Player attacked B1
Player attacked A2
Player attacked A4

AI Moves:
